epoch,app_cpu_pct,postgres_cpu_pct,app_mem,postgres_mem,host_idle_pct
1785175609,178.39,173.64,451.3MiB,455.7MiB,32.06
1785175615,148.90,148.99,451.7MiB,457MiB,45.73
1785175620,372.70,317.60,451.3MiB,455.6MiB,32.96
1785175625,205.30,200.40,452.7MiB,455.6MiB,38.14
1785175630,206.61,204.61,452.4MiB,456MiB,36.73
1785175635,165.71,162.78,452.6MiB,457.5MiB,34.30
1785175640,191.40,194.35,452.7MiB,458.6MiB,37.58
1785175645,172.52,164.52,453.6MiB,456.3MiB,40.68
1785175650,171.74,175.59,453.5MiB,456.6MiB,35.92
1785175655,394.50,367.63,453.9MiB,457.4MiB,3.89
1785175660,220.54,216.02,453.9MiB,459.3MiB,28.83
1785175665,215.62,210.38,454.4MiB,461.1MiB,37.85
1785175670,145.81,151.97,454.2MiB,458.4MiB,41.24
1785175675,190.71,200.10,454.1MiB,458.6MiB,35.96
1785175681,192.99,192.84,453.9MiB,458.6MiB,36.15
1785175686,199.00,198.08,453.8MiB,459.3MiB,35.97
1785175691,168.12,172.70,453.7MiB,461.3MiB,35.07
1785175696,191.78,202.47,454.1MiB,462.5MiB,33.92
1785175701,152.25,188.47,454MiB,463.8MiB,34.10
1785175706,367.17,369.47,492.5MiB,459.8MiB,5.70
1785175711,226.52,232.62,492.4MiB,460MiB,22.97
1785175716,192.28,178.52,492.3MiB,462MiB,38.71
1785175721,213.49,218.35,492.3MiB,463.1MiB,32.23
1785175726,152.00,158.19,492.6MiB,460.4MiB,43.02
1785175731,148.79,160.34,492.6MiB,460.7MiB,43.81
1785175736,379.07,375.07,492.4MiB,461.5MiB,3.53
1785175742,166.48,164.94,492.6MiB,462.9MiB,38.15
1785175747,366.02,371.70,492.7MiB,462MiB,6.34
1785175752,380.54,385.16,492.8MiB,462MiB,3.76
1785175757,278.05,290.99,492.9MiB,464.1MiB,28.43
1785175762,360.99,363.63,492.2MiB,463.1MiB,6.84
1785175767,162.12,172.44,489.5MiB,462.8MiB,45.71
1785175772,51.61,193.76,489.3MiB,462.9MiB,98.62
1785175777,0.18,0.22,487.3MiB,463.6MiB,90.93
1785175782,0.11,0.19,487.9MiB,463.4MiB,98.37
1785175787,0.10,0.12,488.7MiB,462.9MiB,99.12
1785175792,,3.86,,434.6MiB,62.12
1785175797,214.45,0.14,273.6MiB,311.3MiB,94.85
1785175803,0.14,0.15,276.3MiB,310.3MiB,98.38
1785175808,0.12,0.03,277.1MiB,310.2MiB,31.03
1785175813,573.54,194.15,365.2MiB,327.8MiB,33.54
1785175818,320.27,236.76,379.1MiB,327.4MiB,15.98
1785175823,202.79,181.58,393.6MiB,327.5MiB,48.84
1785175828,78.05,69.47,395.7MiB,327.3MiB,57.18
1785175833,189.93,167.85,396.2MiB,327.6MiB,42.22
1785175838,245.47,219.38,396.4MiB,327.7MiB,33.95
1785175843,53.15,49.60,396.9MiB,328.5MiB,61.95
1785175848,310.51,236.48,396.8MiB,328.2MiB,43.04
1785175853,197.36,178.94,396.7MiB,328.7MiB,43.70
1785175858,240.31,192.88,397MiB,329.1MiB,43.57
1785175863,255.38,218.35,397.3MiB,328.7MiB,41.36
1785175868,102.94,38.29,397.2MiB,329.4MiB,57.00
1785175874,311.49,215.11,397.9MiB,333.1MiB,42.43
1785175879,226.86,191.52,398.1MiB,329.8MiB,41.03
1785175884,249.95,215.45,398.5MiB,329.6MiB,36.06
1785175889,191.24,162.83,398.4MiB,330.2MiB,61.64
1785175894,382.49,316.83,398.5MiB,330.6MiB,39.64
1785175899,239.16,191.43,400.9MiB,330.6MiB,40.67
1785175904,94.19,84.35,431.6MiB,330.5MiB,56.85
1785175909,62.23,51.29,431.8MiB,330.6MiB,54.96
1785175914,261.44,228.73,431.4MiB,333.3MiB,32.13
1785175918,43.75,43.18,431.6MiB,330.8MiB,64.85
1785175923,165.82,140.32,431.4MiB,331.2MiB,28.93
1785175928,213.60,185.45,431.5MiB,331.3MiB,42.36
1785175933,236.13,205.79,431.6MiB,331.7MiB,36.30
1785175938,261.80,225.06,431.6MiB,331.2MiB,33.25
1785175944,80.81,72.15,431.6MiB,331.9MiB,48.28
1785175949,204.52,179.80,432MiB,331.7MiB,41.35
1785175954,236.75,207.48,431.8MiB,331.9MiB,38.08
1785175959,260.98,229.61,431.6MiB,332.2MiB,31.50
1785175964,84.47,72.75,432.1MiB,332.9MiB,59.39
1785175969,212.66,183.56,431.9MiB,332.3MiB,43.63
1785175974,236.20,202.56,431.8MiB,334.1MiB,37.94
1785175979,104.37,99.68,432MiB,334.2MiB,55.44
1785175984,55.14,104.00,431.7MiB,332.6MiB,35.01
1785175989,42.83,39.59,431.5MiB,333MiB,50.25
1785175994,39.01,36.53,431.5MiB,333.5MiB,54.68
1785175999,207.93,184.45,431.7MiB,333.5MiB,43.58
1785176004,227.89,202.16,431.8MiB,333.3MiB,39.05
1785176009,262.34,228.97,431.8MiB,334.1MiB,33.20
1785176015,106.92,106.50,431.8MiB,334.1MiB,50.26
1785176020,200.80,181.93,431.6MiB,334.3MiB,45.10
1785176025,219.68,202.61,432.4MiB,338.9MiB,41.84
1785176030,243.50,220.29,432.2MiB,334.7MiB,34.02
1785176035,271.46,104.43,431.7MiB,334.2MiB,60.31
1785176040,246.44,216.73,431.9MiB,334.8MiB,35.99
1785176045,226.22,206.82,431.9MiB,335.3MiB,40.49
1785176050,95.86,88.48,432.1MiB,335.2MiB,54.83
1785176055,75.77,73.14,432.1MiB,335.3MiB,63.87
1785176060,266.95,235.09,432.3MiB,335.5MiB,54.49
1785176065,42.74,46.06,431.9MiB,335.5MiB,64.89
