label,start_epoch,end_epoch,exit_code
steady-run1,1784921700,1784921921,0
steady-run2,1784921921,1784922141,0
steady-run3,1784922141,1784922362,0
spike-run1,1784922362,1784922472,0
spike-run2,1784922472,1784922582,0
spike-run3,1784922582,1784922692,0
skew-run1,1784922692,1784922913,0
skew-run2,1784922913,1784923133,0
skew-run3,1784923133,1784923353,0
sweep-pool10,1784923465,1784923686,0
sweep-pool40,1784923797,1784924017,0
sweep-pool80,1784924133,1784924353,0
