epoch,active,idle,pending,max
1784921627,0.0,20.0,0.0,20.0
1784921628,0.0,20.0,0.0,20.0
1784921629,0.0,20.0,0.0,20.0
1784921631,0.0,20.0,0.0,20.0
1784921632,0.0,20.0,0.0,20.0
1784921633,0.0,20.0,0.0,20.0
1784921634,0.0,20.0,0.0,20.0
1784921635,0.0,20.0,0.0,20.0
1784921636,0.0,20.0,0.0,20.0
1784921637,0.0,20.0,0.0,20.0
1784921638,0.0,20.0,0.0,20.0
1784921639,0.0,20.0,0.0,20.0
1784921640,0.0,20.0,0.0,20.0
1784921641,20.0,0.0,0.0,20.0
1784921642,14.0,6.0,0.0,20.0
1784921643,12.0,8.0,0.0,20.0
1784921644,19.0,1.0,0.0,20.0
1784921645,20.0,0.0,0.0,20.0
1784921646,20.0,0.0,0.0,20.0
1784921647,20.0,0.0,0.0,20.0
1784921648,19.0,1.0,0.0,20.0
1784921649,20.0,0.0,0.0,20.0
1784921650,13.0,7.0,0.0,20.0
1784921651,20.0,0.0,0.0,20.0
1784921652,20.0,0.0,0.0,20.0
1784921653,14.0,6.0,0.0,20.0
1784921654,20.0,0.0,0.0,20.0
1784921655,12.0,8.0,0.0,20.0
1784921656,10.0,10.0,0.0,20.0
1784921657,20.0,0.0,0.0,20.0
1784921658,20.0,0.0,0.0,20.0
1784921659,20.0,0.0,0.0,20.0
1784921660,3.0,17.0,0.0,20.0
1784921661,17.0,3.0,0.0,20.0
1784921662,1.0,19.0,0.0,20.0
1784921663,19.0,1.0,0.0,20.0
1784921664,6.0,14.0,0.0,20.0
1784921665,20.0,0.0,0.0,20.0
1784921666,19.0,1.0,0.0,20.0
1784921667,20.0,0.0,0.0,20.0
1784921669,20.0,0.0,0.0,20.0
1784921670,20.0,0.0,0.0,20.0
1784921671,14.0,6.0,0.0,20.0
1784921672,19.0,1.0,0.0,20.0
1784921673,20.0,0.0,0.0,20.0
1784921674,20.0,0.0,0.0,20.0
1784921675,20.0,0.0,0.0,20.0
1784921676,20.0,0.0,0.0,20.0
1784921677,20.0,0.0,0.0,20.0
1784921678,20.0,0.0,0.0,20.0
1784921679,20.0,0.0,0.0,20.0
1784921680,12.0,8.0,0.0,20.0
1784921681,20.0,0.0,0.0,20.0
1784921682,20.0,0.0,0.0,20.0
1784921683,16.0,4.0,0.0,20.0
1784921684,18.0,2.0,0.0,20.0
1784921685,20.0,0.0,0.0,20.0
1784921686,19.0,1.0,0.0,20.0
1784921687,20.0,0.0,0.0,20.0
1784921688,20.0,0.0,0.0,20.0
1784921689,19.0,1.0,0.0,20.0
1784921690,20.0,0.0,0.0,20.0
1784921691,20.0,0.0,0.0,20.0
1784921692,20.0,0.0,0.0,20.0
1784921693,19.0,1.0,0.0,20.0
1784921694,15.0,5.0,0.0,20.0
1784921695,20.0,0.0,0.0,20.0
1784921696,20.0,0.0,0.0,20.0
1784921697,20.0,0.0,0.0,20.0
1784921698,20.0,0.0,0.0,20.0
1784921699,20.0,0.0,0.0,20.0
1784921700,0.0,20.0,0.0,20.0
1784921701,1.0,19.0,0.0,20.0
1784921702,3.0,17.0,0.0,20.0
1784921703,5.0,15.0,0.0,20.0
1784921704,5.0,15.0,0.0,20.0
1784921705,7.0,13.0,0.0,20.0
